wandb_id,condition,cohort,budget,delay,seed,step,reward_mean,reward_smooth
jp5jehho,delayed_mlp,primary,1000000000,0,46,147210240,972.74560546875,972.4672528435202
jp5jehho,delayed_mlp,primary,1000000000,0,46,147701760,972.7858276367188,972.5126701803769
jp5jehho,delayed_mlp,primary,1000000000,0,46,148439040,972.836181640625,972.5871797449448
jp5jehho,delayed_mlp,primary,1000000000,0,46,148930560,973.203857421875,972.6657427619485
jp5jehho,delayed_mlp,primary,1000000000,0,46,149422080,972.274169921875,972.6949391084559
jp5jehho,delayed_mlp,primary,1000000000,0,46,150159360,973.352294921875,972.7409021714154
jp5jehho,delayed_mlp,primary,1000000000,0,46,150650880,973.0665283203124,972.7844274184283
jp5jehho,delayed_mlp,primary,1000000000,0,46,151388160,972.76123046875,972.8302253274356
jp5jehho,delayed_mlp,primary,1000000000,0,46,151879680,972.828369140625,972.8229154698989
jp5jehho,delayed_mlp,primary,1000000000,0,46,152616960,973.0277099609376,972.8479757869945
jp5jehho,delayed_mlp,primary,1000000000,0,46,153108480,973.033203125,972.8507080078125
jp5jehho,delayed_mlp,primary,1000000000,0,46,153600000,973.3409423828124,972.8885641659008
jp5jehho,delayed_mlp,primary,1000000000,0,46,154337280,973.31298828125,972.9201624253217
jp5jehho,delayed_mlp,primary,1000000000,0,46,154828800,973.5333251953124,972.9559433880975
jp5jehho,delayed_mlp,primary,1000000000,0,46,155566080,973.4793090820312,972.9933723000919
jp5jehho,delayed_mlp,primary,1000000000,0,46,156057600,973.105712890625,973.0151905732996
jp5jehho,delayed_mlp,primary,1000000000,0,46,156794880,972.6976318359376,973.0226404526654
jp5jehho,delayed_mlp,primary,1000000000,0,46,157286400,973.2591552734376,973.0528492647059
jp5jehho,delayed_mlp,primary,1000000000,0,46,158023680,973.1222534179688,973.0726390165441
jp5jehho,delayed_mlp,primary,1000000000,0,46,158515200,972.893310546875,973.0759995404412
jp5jehho,delayed_mlp,primary,1000000000,0,46,159006720,973.196044921875,973.0755399816177
jp5jehho,delayed_mlp,primary,1000000000,0,46,159744000,973.4442138671876,973.1443660960477
jp5jehho,delayed_mlp,primary,1000000000,0,46,160235520,973.60400390625,973.1591725068934
jp5jehho,delayed_mlp,primary,1000000000,0,46,160972800,973.1881713867188,973.1663279813879
jp5jehho,delayed_mlp,primary,1000000000,0,46,161464320,972.0730590820312,973.1258473115809
