wandb_id,condition,delay,seed,step,reward_mean
dyfuh7fu,delayed_mlp,7,i45/p45,331284480,946.16796875
dyfuh7fu,delayed_mlp,7,i45/p45,336199680,944.1796875
dyfuh7fu,delayed_mlp,7,i45/p45,340869120,946.52734375
dyfuh7fu,delayed_mlp,7,i45/p45,345784320,946.98828125
dyfuh7fu,delayed_mlp,7,i45/p45,350453760,943.63671875
dyfuh7fu,delayed_mlp,7,i45/p45,355368960,946.33984375
dyfuh7fu,delayed_mlp,7,i45/p45,360038400,918.515625
dyfuh7fu,delayed_mlp,7,i45/p45,364953600,919.31640625
dyfuh7fu,delayed_mlp,7,i45/p45,369623040,946.3046875
dyfuh7fu,delayed_mlp,7,i45/p45,374538240,941.2734375
dyfuh7fu,delayed_mlp,7,i45/p45,379207680,938.828125
dyfuh7fu,delayed_mlp,7,i45/p45,384122880,946.2265625
dyfuh7fu,delayed_mlp,7,i45/p45,389038080,947.3359375
dyfuh7fu,delayed_mlp,7,i45/p45,393707520,948.16796875
dyfuh7fu,delayed_mlp,7,i45/p45,398622720,948.1875
dyfuh7fu,delayed_mlp,7,i45/p45,403292160,948.30859375
dyfuh7fu,delayed_mlp,7,i45/p45,408207360,944.1875
dyfuh7fu,delayed_mlp,7,i45/p45,412876800,924.86328125
dyfuh7fu,delayed_mlp,7,i45/p45,417792000,947.49609375
dyfuh7fu,delayed_mlp,7,i45/p45,422461440,948.36328125
dyfuh7fu,delayed_mlp,7,i45/p45,427376640,927.4609375
dyfuh7fu,delayed_mlp,7,i45/p45,432046080,930.296875
dyfuh7fu,delayed_mlp,7,i45/p45,436961280,945.0234375
dyfuh7fu,delayed_mlp,7,i45/p45,441630720,946.1640625
dyfuh7fu,delayed_mlp,7,i45/p45,446545920,918.35546875
dyfuh7fu,delayed_mlp,7,i45/p45,451215360,948.33984375
dyfuh7fu,delayed_mlp,7,i45/p45,456130560,938.81640625
dyfuh7fu,delayed_mlp,7,i45/p45,460800000,949.421875
dyfuh7fu,delayed_mlp,7,i45/p45,465715200,951.046875
dyfuh7fu,delayed_mlp,7,i45/p45,470630400,950.9609375
dyfuh7fu,delayed_mlp,7,i45/p45,475299840,949.83203125
dyfuh7fu,delayed_mlp,7,i45/p45,480215040,945.640625
elttam67,delayed_mlp,10,i42/p1234,4915200,62.875
elttam67,delayed_mlp,10,i42/p1234,14499840,586.33203125
elttam67,delayed_mlp,10,i42/p1234,19415040,696.93359375
elttam67,delayed_mlp,10,i42/p1234,24084480,739.98828125
elttam67,delayed_mlp,10,i42/p1234,28999680,781.875
elttam67,delayed_mlp,10,i42/p1234,33669120,795.25
elttam67,delayed_mlp,10,i42/p1234,38584320,822.77734375
elttam67,delayed_mlp,10,i42/p1234,43253760,816.28125
elttam67,delayed_mlp,10,i42/p1234,48168960,750.20703125
elttam67,delayed_mlp,10,i42/p1234,52838400,703.71484375
elttam67,delayed_mlp,10,i42/p1234,57753600,704.25
elttam67,delayed_mlp,10,i42/p1234,62423040,689.40234375
elttam67,delayed_mlp,10,i42/p1234,67338240,747.4140625
elttam67,delayed_mlp,10,i42/p1234,72007680,730.38671875
elttam67,delayed_mlp,10,i42/p1234,76922880,851.0625
elttam67,delayed_mlp,10,i42/p1234,81838080,820.86328125
elttam67,delayed_mlp,10,i42/p1234,86507520,819.421875
elttam67,delayed_mlp,10,i42/p1234,91422720,801.484375
elttam67,delayed_mlp,10,i42/p1234,96092160,759.2578125
elttam67,delayed_mlp,10,i42/p1234,101007360,778.17578125
elttam67,delayed_mlp,10,i42/p1234,105676800,748.51171875
elttam67,delayed_mlp,10,i42/p1234,110592000,774.88671875
elttam67,delayed_mlp,10,i42/p1234,115261440,717.6640625
elttam67,delayed_mlp,10,i42/p1234,120176640,740.69140625
elttam67,delayed_mlp,10,i42/p1234,124846080,754.3203125
elttam67,delayed_mlp,10,i42/p1234,129761280,789.19140625
elttam67,delayed_mlp,10,i42/p1234,134430720,783.0703125
elttam67,delayed_mlp,10,i42/p1234,139345920,724.328125
elttam67,delayed_mlp,10,i42/p1234,144015360,777.4609375
elttam67,delayed_mlp,10,i42/p1234,148930560,765.8828125
elttam67,delayed_mlp,10,i42/p1234,153600000,800.96484375
elttam67,delayed_mlp,10,i42/p1234,158515200,778.91015625
elttam67,delayed_mlp,10,i42/p1234,163430400,771.2734375
elttam67,delayed_mlp,10,i42/p1234,168099840,785.71875
elttam67,delayed_mlp,10,i42/p1234,173015040,815.08984375
elttam67,delayed_mlp,10,i42/p1234,177684480,839.8203125
elttam67,delayed_mlp,10,i42/p1234,182599680,823.73828125
elttam67,delayed_mlp,10,i42/p1234,187269120,829.84765625
elttam67,delayed_mlp,10,i42/p1234,192184320,853.58984375
elttam67,delayed_mlp,10,i42/p1234,196853760,832.7421875
elttam67,delayed_mlp,10,i42/p1234,201768960,818.203125
elttam67,delayed_mlp,10,i42/p1234,206438400,858.46484375
elttam67,delayed_mlp,10,i42/p1234,211353600,873.09765625
elttam67,delayed_mlp,10,i42/p1234,216023040,929.8671875
elttam67,delayed_mlp,10,i42/p1234,220938240,919.921875
elttam67,delayed_mlp,10,i42/p1234,225607680,916.52734375
elttam67,delayed_mlp,10,i42/p1234,230522880,919.18359375
elttam67,delayed_mlp,10,i42/p1234,235438080,900.2734375
elttam67,delayed_mlp,10,i42/p1234,240107520,936.265625
elttam67,delayed_mlp,10,i42/p1234,245022720,936.10546875
elttam67,delayed_mlp,10,i42/p1234,249692160,934.53125
elttam67,delayed_mlp,10,i42/p1234,254607360,935.30078125
elttam67,delayed_mlp,10,i42/p1234,259276800,938.9453125
elttam67,delayed_mlp,10,i42/p1234,264192000,939.375
elttam67,delayed_mlp,10,i42/p1234,268861440,938.39453125
elttam67,delayed_mlp,10,i42/p1234,273776640,939.98046875
elttam67,delayed_mlp,10,i42/p1234,278446080,940.83203125
elttam67,delayed_mlp,10,i42/p1234,283361280,938.921875
elttam67,delayed_mlp,10,i42/p1234,288030720,940.83984375
elttam67,delayed_mlp,10,i42/p1234,292945920,942.1796875
elttam67,delayed_mlp,10,i42/p1234,297615360,941.71875
elttam67,delayed_mlp,10,i42/p1234,302530560,943.13671875
elttam67,delayed_mlp,10,i42/p1234,307200000,942.0859375
elttam67,delayed_mlp,10,i42/p1234,312115200,940.640625
elttam67,delayed_mlp,10,i42/p1234,317030400,943.65625
elttam67,delayed_mlp,10,i42/p1234,321699840,935.98046875
elttam67,delayed_mlp,10,i42/p1234,326615040,931.55078125
elttam67,delayed_mlp,10,i42/p1234,331284480,942.78125
elttam67,delayed_mlp,10,i42/p1234,336199680,946.3203125
elttam67,delayed_mlp,10,i42/p1234,340869120,946.9765625
elttam67,delayed_mlp,10,i42/p1234,345784320,946.875
elttam67,delayed_mlp,10,i42/p1234,350453760,941.71875
elttam67,delayed_mlp,10,i42/p1234,355368960,944.4921875
elttam67,delayed_mlp,10,i42/p1234,360038400,945.31640625
elttam67,delayed_mlp,10,i42/p1234,364953600,934.94140625
elttam67,delayed_mlp,10,i42/p1234,369623040,939.84765625
elttam67,delayed_mlp,10,i42/p1234,374538240,944.96484375
elttam67,delayed_mlp,10,i42/p1234,379207680,948.25
elttam67,delayed_mlp,10,i42/p1234,384122880,945.47265625
elttam67,delayed_mlp,10,i42/p1234,389038080,947.63671875
elttam67,delayed_mlp,10,i42/p1234,393707520,945.4453125
elttam67,delayed_mlp,10,i42/p1234,398622720,948.90234375
elttam67,delayed_mlp,10,i42/p1234,403292160,946.23046875
elttam67,delayed_mlp,10,i42/p1234,408207360,948.91796875
elttam67,delayed_mlp,10,i42/p1234,412876800,950.62890625
elttam67,delayed_mlp,10,i42/p1234,417792000,948.04296875
elttam67,delayed_mlp,10,i42/p1234,422461440,950.15234375
elttam67,delayed_mlp,10,i42/p1234,427376640,936.64453125
elttam67,delayed_mlp,10,i42/p1234,432046080,942.71875
elttam67,delayed_mlp,10,i42/p1234,436961280,938.86328125
elttam67,delayed_mlp,10,i42/p1234,441630720,933.1953125
elttam67,delayed_mlp,10,i42/p1234,446545920,930.484375
elttam67,delayed_mlp,10,i42/p1234,451215360,941.21484375
elttam67,delayed_mlp,10,i42/p1234,456130560,941.42578125
elttam67,delayed_mlp,10,i42/p1234,460800000,947.109375
elttam67,delayed_mlp,10,i42/p1234,465715200,939.71875
elttam67,delayed_mlp,10,i42/p1234,470630400,937.6640625
elttam67,delayed_mlp,10,i42/p1234,475299840,934.6015625
elttam67,delayed_mlp,10,i42/p1234,480215040,930.08984375
84wndhf2,delayed_mlp,10,i43/p43,4915200,24.4765625
84wndhf2,delayed_mlp,10,i43/p43,9830400,433.30078125
84wndhf2,delayed_mlp,10,i43/p43,14499840,697.22265625
84wndhf2,delayed_mlp,10,i43/p43,19415040,741.0390625
84wndhf2,delayed_mlp,10,i43/p43,24084480,777.48046875
84wndhf2,delayed_mlp,10,i43/p43,28999680,757.2265625
84wndhf2,delayed_mlp,10,i43/p43,33669120,790.078125
84wndhf2,delayed_mlp,10,i43/p43,38584320,812.20703125
84wndhf2,delayed_mlp,10,i43/p43,43253760,828.68359375
84wndhf2,delayed_mlp,10,i43/p43,48168960,813.734375
84wndhf2,delayed_mlp,10,i43/p43,52838400,817.2109375
84wndhf2,delayed_mlp,10,i43/p43,57753600,824.99609375
84wndhf2,delayed_mlp,10,i43/p43,62423040,707.7265625
84wndhf2,delayed_mlp,10,i43/p43,67338240,529.30859375
84wndhf2,delayed_mlp,10,i43/p43,72007680,639.74609375
84wndhf2,delayed_mlp,10,i43/p43,76922880,612.51953125
84wndhf2,delayed_mlp,10,i43/p43,81838080,620.5859375
84wndhf2,delayed_mlp,10,i43/p43,86507520,563.56640625
84wndhf2,delayed_mlp,10,i43/p43,91422720,547.28515625
84wndhf2,delayed_mlp,10,i43/p43,96092160,561.484375
84wndhf2,delayed_mlp,10,i43/p43,101007360,675.92578125
84wndhf2,delayed_mlp,10,i43/p43,105676800,772.5703125
84wndhf2,delayed_mlp,10,i43/p43,110592000,742.48046875
